employee_id,name,gender,age,department,experience_years,monthly_salary,projects_completed,performance_score,attendance
2001,Employee_1,Male,50,IT,3,60000,12,5.9,85
2002,Employee_2,Male,48,Finance,17,25000,5,5.5,82
2003,Employee_3,Female,33,IT,3,35000,5,8.3,80
2004,Employee_4,Male,46,Sales,10,50000,7,5.4,71
2005,Employee_5,Female,24,HR,9,50000,3,7.9,90
2006,Employee_6,Male,24,Marketing,20,40000,9,9.9,83
2007,Employee_7,Female,30,Finance,9,75000,9,7.5,97
2008,Employee_8,Male,28,Sales,14,40000,11,8.6,83
2009,Employee_9,Female,50,IT,7,90000,9,8.8,92
2010,Employee_10,Female,26,Marketing,0,25000,2,7.4,72
2011,Employee_11,Male,29,Marketing,2,75000,1,7.6,80
2012,Employee_12,Female,23,HR,3,30000,10,6.2,84
2013,Employee_13,Male,43,Sales,19,35000,10,8.1,84
2014,Employee_14,Female,49,IT,3,35000,12,7.6,70
2015,Employee_15,Male,34,HR,14,25000,3,6.7,73
2016,Employee_16,Female,36,HR,12,40000,9,9.7,71
2017,Employee_17,Male,36,Finance,11,30000,10,8.2,92
2018,Employee_18,Female,48,Sales,5,90000,11,7.1,81
2019,Employee_19,Male,42,Sales,4,40000,10,9.5,81
2020,Employee_20,Male,30,Finance,12,75000,2,8.8,80
2021,Employee_21,Male,26,Marketing,0,75000,8,9.9,94
2022,Employee_22,Female,21,Marketing,13,60000,11,6.7,77
2023,Employee_23,Female,39,HR,6,30000,4,7.4,92
2024,Employee_24,Male,41,Sales,7,40000,11,6.2,87
2025,Employee_25,Female,46,IT,0,30000,9,8.6,92
2026,Employee_26,Female,43,Finance,13,90000,8,9.2,91
2027,Employee_27,Female,35,IT,4,25000,1,8.5,99
2028,Employee_28,Female,24,HR,2,50000,6,8.6,87
2029,Employee_29,Male,24,HR,5,25000,5,5.7,85
2030,Employee_30,Female,25,Finance,17,40000,8,9.7,93
2031,Employee_31,Male,28,HR,8,25000,6,5.7,94
2032,Employee_32,Male,36,IT,13,35000,11,9.0,96
2033,Employee_33,Male,39,HR,5,30000,12,5.8,88
2034,Employee_34,Female,36,Marketing,12,25000,5,8.4,92
2035,Employee_35,Male,29,IT,9,75000,9,8.7,80
2036,Employee_36,Male,21,Finance,2,90000,10,5.9,91
2037,Employee_37,Female,55,IT,0,75000,10,7.8,77
2038,Employee_38,Male,37,IT,3,60000,11,6.2,71
2039,Employee_39,Female,47,Finance,18,35000,6,9.8,75
2040,Employee_40,Male,44,IT,12,75000,4,5.9,74
2041,Employee_41,Female,44,Finance,8,75000,3,9.9,90
2042,Employee_42,Male,29,Finance,18,30000,1,7.5,84
2043,Employee_43,Male,47,HR,1,30000,6,5.0,76
2044,Employee_44,Male,23,Finance,20,25000,1,5.8,96
2045,Employee_45,Male,39,Sales,17,40000,10,6.8,91
2046,Employee_46,Female,43,IT,6,35000,2,8.4,96
2047,Employee_47,Male,41,Marketing,9,35000,8,8.2,85
2048,Employee_48,Male,21,Finance,9,50000,6,6.1,83
2049,Employee_49,Male,43,Marketing,19,60000,7,7.1,90
2050,Employee_50,Male,53,Marketing,17,75000,11,9.2,96
